Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1965,1694,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1979,10138,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,2015,3538,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1979,541,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,2001,242,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2011,2795,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1969,1186,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1989,523,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1986,31,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1997,21,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1967,20154,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,2008,13,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1977,660,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1970,1542,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,2005,231,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1992,721,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1976,16931,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1981,11485,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1969,32756,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,2007,217,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1987,30,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2009,3372,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,2008,274,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1960,1425,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2013,1555,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1987,540,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1998,4415,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1968,34194,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1960,2114,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1988,793,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1970,1095,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2010,1793,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2007,3442,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1985,9388,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1969,17676,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1997,4252,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,2015,142,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1999,373,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1993,3133,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1999,2168,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1984,8525,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,2009,12,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1995,435,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1964,1311,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1960,102,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1982,8683,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1967,1391,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2004,2172,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1963,2006,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2007,2082,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1978,625,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1986,528,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1965,1277,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1994,5428,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1994,4361,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1987,454,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1966,22016,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,2000,379,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1995,2641,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1970,1068,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1964,1774,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1972,963,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1969,16262,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1993,372,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1997,3522,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,2014,3612,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1979,44,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1989,7615,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1962,1888,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1987,778,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1992,391,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2001,3883,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1966,1607,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1974,830,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1991,460,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1987,4609,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1963,42078,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,2006,2390,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2002,3869,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1977,11245,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1980,586,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2002,3748,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1995,328,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1983,8712,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1993,483,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1992,424,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1962,21640,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2010,3289,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,2010,12,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1994,365,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1971,1190,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1973,24245,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1964,92,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1996,324,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1978,11401,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2005,2141,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1996,2435,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1993,4671,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1975,19179,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1982,751,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,2010,177,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,2001,355,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,2001,4455,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1992,27,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,2007,348,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,2000,17,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2013,2764,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1973,21537,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,2015,165,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1985,516,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1992,6206,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1997,4606,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1993,5902,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1986,462,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,2003,14,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,2013,333,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1984,9890,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1984,8178,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1971,67,239,57,1960,2016
