Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,Nigeria,NGA,1998,948884,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,"Korea, Rep.",KOR,2008,2059,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Lebanon,LBN,2006,705,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Benin,BEN,2004,39126,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,San Marino,SMR,1994,2,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Chad,TCD,1999,72890,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Dominican Republic,DOM,1962,24679,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Singapore,SGP,2003,154,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Other small states,OSS,2005,49165,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,El Salvador,SLV,1992,8705,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Tunisia,TUN,1986,15369,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Azerbaijan,AZE,1999,11936,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1965,1694,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Turkey,TUR,1963,289520,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Thailand,THA,1973,117388,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ukraine,UKR,2003,6465,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Cyprus,CYP,2011,43,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,IDA only,IDX,2005,3001330,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Algeria,DZA,1988,45387,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Fiji,FJI,1996,491,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1979,10138,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Georgia,GEO,2006,1281,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Mauritania,MRT,1996,10334,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Arab Emirates,ARE,2004,636,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Greece,GRC,1983,2279,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ethiopia,ETH,2014,201794,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Canada,CAN,1994,2749,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Malta,MLT,1964,232,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Myanmar,MMR,1978,166466,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Nigeria,NGA,1970,698556,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,2015,3538,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ethiopia,ETH,1979,392625,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Haiti,HTI,1998,29519,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sub-Saharan Africa (excluding high income),SSA,2014,2987742,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,East Asia & Pacific (excluding high income),EAP,2006,842131,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,El Salvador,SLV,1964,23653,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Argentina,ARG,1982,25421,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Vanuatu,VUT,1998,173,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Kiribati,KIR,2004,172,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Fragile and conflict affected situations,FCS,1998,1620447,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Solomon Islands,SLB,1993,453,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Paraguay,PRY,2011,3237,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Namibia,NAM,1985,3948,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Saudi Arabia,SAU,1999,12900,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Togo,TGO,1977,21847,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Trinidad and Tobago,TTO,2009,462,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Croatia,HRV,1990,710,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1979,541,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Australia,AUS,2001,1516,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Lebanon,LBN,1962,5092,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Zambia,ZMB,1960,29450,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Mauritania,MRT,1978,10505,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ghana,GHA,1994,67364,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Panama,PAN,1973,3342,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Latvia,LVA,1993,615,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sao Tome and Principe,STP,1986,413,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Mauritius,MUS,1981,826,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Nepal,NPL,2011,27448,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Gabon,GAB,2005,3341,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ecuador,ECU,2015,7081,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Lebanon,LBN,1969,4661,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Least developed countries: UN classification,LDC,2007,2768403,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Algeria,DZA,2011,23877,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Brunei Darussalam,BRN,1996,97,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Cyprus,CYP,2004,63,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ecuador,ECU,2012,7756,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Uganda,UGA,1963,73721,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,2001,242,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Portugal,PRT,1971,11630,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Belize,BLZ,1977,414,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Austria,AUT,2012,326,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Uruguay,URY,1973,3181,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iraq,IRQ,1999,36736,239,57,1960,2016
