Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Forest area (% of land area),AG.LND.FRST.ZS,Low & middle income,LMY,2013,31.4945940927857,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Iran, Islamic Rep.",IRN,2015,6.56449077826076,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Chad,TCD,2001,4.99444091486658,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,East Asia & Pacific,EAS,2005,26.0945663107892,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Tunisia,TUN,1995,4.76313079299691,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Micronesia, Fed. Sts.",FSM,1993,90.9571428571429,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Guinea,GIN,1993,29.122578544685,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Senegal,SEN,2007,44.6320054017556,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Cuba,CUB,1998,21.9702048417132,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Cyprus,CYP,1991,17.5497835497835,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Bulgaria,BGR,1999,30.4637078550122,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Barbados,BRB,2004,14.6511627906977,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Egypt, Arab Rep.",EGY,2007,0.0685117283640565,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Kazakhstan,KAZ,2013,1.22569174352706,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Sub-Saharan Africa (excluding high income),SSA,2004,27.4770303558917,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Cabo Verde,CPV,1990,14.3300248138958,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Kyrgyz Republic,KGZ,1997,4.44071949947862,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Virgin Islands (U.S.),VIR,1993,64.7142857142857,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,OECD members,OED,2000,31.0803963044573,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Timor-Leste,TLS,2001,56.6778749159381,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,South Asia,SAS,1995,16.5456419668504,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Belize,BLZ,1997,66.0377027619465,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Mauritius,MUS,2002,19.9113300492611,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Europe & Central Asia,ECS,2001,37.5075581824877,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Gambia, The",GMB,1995,44.6146245059289,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Mozambique,MOZ,2007,50.4033673287724,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Jamaica,JAM,2008,31.2040627885503,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Lithuania,LTU,2006,33.9948947032546,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Angola,AGO,2005,47.4083580652924,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Senegal,SEN,1992,48.0860125694697,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Gambia, The",GMB,2010,47.4308300395257,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,IDA & IBRD total,IBT,1997,32.2504733009595,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Cote d'Ivoire,CIV,1997,32.3779874213837,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Norway,NOR,1998,33.1744445509179,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Middle East & North Africa,MEA,1999,1.81898827546996,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Caribbean small states,CSS,1995,86.0174385574904,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Liberia,LBR,1996,49.3044019933555,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Qatar,QAT,2000,0,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Austria,AUT,1990,45.7253572293533,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Iran, Islamic Rep.",IRN,1992,5.60302315872197,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Caribbean small states,CSS,2000,85.7122885019143,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Cambodia,KHM,2003,62.6387944708815,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Nicaragua,NIC,2011,25.8766827322586,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,France,FRA,1993,26.8312860915397,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Hungary,HUN,2011,22.6510548989285,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Poland,POL,1990,28.9953965196382,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,British Virgin Islands,VGB,2014,24.1333333333333,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Djibouti,DJI,1993,0.241587575496117,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Mozambique,MOZ,2010,49.5587375060403,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Cabo Verde,CPV,2006,20.8163771712159,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,South Asia (IDA & IBRD),TSA,1995,16.5456419668504,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Dominican Republic,DOM,1996,27.6050507141379,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Paraguay,PRY,1990,53.2519506670023,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Europe & Central Asia,ECS,2007,37.7282894710701,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Greenland,GRL,2011,5.35997076379583e-4,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Middle East & North Africa (excluding high income),MNA,1990,2.14823795630233,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Tonga,TON,2009,12.5,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Iran, Islamic Rep.",IRN,2009,6.56449077826076,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,East Asia & Pacific,EAS,2010,26.161970030689,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Bangladesh,BGD,2015,10.977951909042,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Moldova,MDA,1996,9.77831764348618,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,IDA & IBRD total,IBT,1990,32.8283637874227,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Channel Islands,CHI,1991,4.21052631578947,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,United Arab Emirates,ARE,1999,3.63038277511962,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Chile,CHL,1993,20.7580843864151,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,1993,28.3564642769717,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,San Marino,SMR,1996,0,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Central Europe and the Baltics,CEB,1998,32.3767687846834,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,France,FRA,2003,28.5328373492107,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,San Marino,SMR,2012,0,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Kuwait,KWT,1997,0.248597081930415,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Antigua and Barbuda,ATG,2000,22.7272727272727,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Pacific island small states,PSS,1999,62.2468847352025,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Fragile and conflict affected situations,FCS,2006,25.9317196630815,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Libya,LBY,1995,0.123327687918433,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Portugal,PRT,2001,36.4327868852459,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Mauritania,MRT,2011,0.231396138546619,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Peru,PER,1993,60.46,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Pacific island small states,PSS,2004,62.1529595015576,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Greenland,GRL,2012,5.35997076379583e-4,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Pre-demographic dividend,PRE,1999,28.4317007106097,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Turkey,TUR,1994,12.7936800800385,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,2015,46.3475984692295,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,American Samoa,ASM,2006,89.25,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Eritrea,ERI,2009,15.2118811881188,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,New Zealand,NZL,1992,37.0445482511109,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,OECD members,OED,2003,31.1036804271112,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Puerto Rico,PRI,2013,55.1668545659526,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Macedonia, FYR",MKD,2012,39.5717684377478,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Middle income,MIC,2010,32.3001365710212,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Portugal,PRT,2010,35.3641227208211,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Georgia,GEO,2011,40.6159159591308,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Malaysia,MYS,2009,66.5871252472987,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Eritrea,ERI,2001,15.560396039604,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Sudan,SDN,2015,8.08499158249158,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Japan,JPN,1995,68.3296763576522,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Sudan,SDN,2001,12.1248947811448,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Greece,GRC,1998,27.4678044996121,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Mauritania,MRT,2013,0.224604637624915,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Israel,ISR,2010,7.11645101663586,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Bahrain,BHR,2007,0.64,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Low & middle income,LMY,2015,31.4009801037888,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Qatar,QAT,1990,0,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Angola,AGO,2002,47.7086708911526,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Iraq,IRQ,1992,1.84466241397444,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Channel Islands,CHI,1994,4.21052631578947,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,2001,38.3535455697208,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,IDA & IBRD total,IBT,2008,31.6531422576114,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Bahamas, The",BHS,2014,51.4485514485514,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Estonia,EST,1995,52.4769992922859,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,West Bank and Gaza,PSE,1994,1.50830564784053,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Montenegro,MNE,2009,58.4981412639405,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Ethiopia,ETH,2004,13.141,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Belarus,BLR,2009,41.9800808598757,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Channel Islands,CHI,2004,4.21052631578947,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Ukraine,UKR,2001,16.4373867265038,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Macedonia, FYR",MKD,1997,37.1293747542273,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Costa Rica,CRI,1990,50.2154328241285,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Equatorial Guinea,GNQ,2009,58.3885918003565,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Grenada,GRD,2001,49.9705882352941,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Afghanistan,AFG,2001,2.06782464846981,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Niger,NER,1993,1.38935817478487,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,2008,2.47279046236417,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,European Union,EUU,2002,36.6816557642541,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Mauritania,MRT,2009,0.239642961094402,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Guatemala,GTM,2005,36.7487868607689,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,"Gambia, The",GMB,1991,43.8636363636364,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Guatemala,GTM,1993,42.795819335573,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Mongolia,MNG,1992,7.96377352660985,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Cabo Verde,CPV,1999,19.7667493796526,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Samoa,WSM,2006,60.4240282685512,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,OECD members,OED,1994,30.9648095869779,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Georgia,GEO,2013,40.6159159591308,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Canada,CAN,2011,38.1871686510489,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Fiji,FJI,1991,52.3070607553366,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Tonga,TON,1997,12.5,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Spain,ESP,2011,36.5714371449148,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Haiti,HTI,2000,3.95500725689405,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Bolivia,BOL,2015,50.5529400904643,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Gabon,GAB,2005,85.380525478325,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Czech Republic,CZE,1997,34.0960269185971,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Upper middle income,UMC,2005,34.6654923501474,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Least developed countries: UN classification,LDC,2014,26.8839257437311,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Chad,TCD,1998,5.08402160101652,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Latin America & Caribbean (excluding high income),LAC,1997,50.9779980580524,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Fragile and conflict affected situations,FCS,2014,24.5352827058344,256,26,1990,2015
Forest area (% of land area),AG.LND.FRST.ZS,Aruba,ABW,2000,2.33333333333333,256,26,1990,2015
