Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Zimbabwe,ZWE,1999,10.6000003814697,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Sudan,SDN,1993,2.79999995231628,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Morocco,MAR,1992,10.6999998092651,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Tanzania,TZA,2004,4.90000009536743,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Mexico,MEX,1998,7.59999990463257,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Uganda,UGA,1995,5.09999990463257,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Lesotho,LSO,2014,7.40000009536743,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,"Egypt, Arab Rep.",EGY,1991,14.8999996185303,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Uganda,UGA,2006,4.90000009536743,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Jamaica,JAM,2007,8.5,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Liberia,LBR,2007,4.19999980926514,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Uzbekistan,UZB,1996,18.5,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Chile,CHL,2008,9.5,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Bangladesh,BGD,2014,1.60000002384186,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,China,CHN,1998,5.5,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Jamaica,JAM,1994,6.19999980926514,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Chile,CHL,2004,12.1000003814697,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,"Congo, Rep.",COG,1987,1.39999997615814,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Indonesia,IDN,2007,11.1999998092651,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Lower middle income,LMC,2015,4.69999980926514,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Kiribati,KIR,1985,15.8999996185303,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,El Salvador,SLV,1993,3.90000009536743,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Maldives,MDV,1994,1.20000004768372,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,"Venezuela, RB",VEN,2005,5.5,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Bangladesh,BGD,1995,0.200000002980232,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Haiti,HTI,2006,3.90000009536743,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Czech Republic,CZE,2001,4.40000009536743,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Tanzania,TZA,2010,5.5,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Philippines,PHL,2008,3.29999995231628,167,46,1969,2016
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Suriname,SUR,2000,2.90000009536743,167,46,1969,2016
