Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Somalia,SOM,2013,9,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Afghanistan,AFG,2015,15,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Liberia,LBR,2015,4719,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Guinea-Bissau,GNB,2014,14,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Syrian Arab Republic,SYR,2016,829,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Afghanistan,AFG,2009,20,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Libya,LBY,2013,11,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Afghanistan,AFG,2013,25,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Cote d'Ivoire,CIV,2012,11033,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Timor-Leste,TLS,2011,1216,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,"Congo, Dem. Rep.",COD,2014,21036,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Libya,LBY,2014,2,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Solomon Islands,SLB,2007,572,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Central African Republic,CAF,2009,2777,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Central African Republic,CAF,2015,12361,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Central African Republic,CAF,2013,4,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Cote d'Ivoire,CIV,2010,9071,22,9,2007,2016
