Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Japan,JPN,1996,2.69108,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Togo,TGO,2010,0.25373,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,United Arab Emirates,ARE,2011,0.48919,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Netherlands,NLD,2001,1.81447,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,High income,HIC,2010,2.39462063739821,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Thailand,THA,1999,0.24835,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,High income,HIC,2013,2.4280922010746,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brazil,BRA,2008,1.12896,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,South Asia,SAS,2002,0.650804927706504,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Serbia,SRB,2004,0.30474,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Norway,NOR,1999,1.5999,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Luxembourg,LUX,2009,1.71026,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brazil,BRA,2003,0.9982,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Estonia,EST,2008,1.25952,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Slovenia,SVN,2008,1.62564,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,China,CHN,2000,0.89566,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Estonia,EST,1999,0.68063,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Austria,AUT,1999,1.8531,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,OECD members,OED,1998,2.15056457736393,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ireland,IRL,2000,1.0888,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Moldova,MDA,2014,0.37071,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bolivia,BOL,2001,0.29358,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Korea, Rep.",KOR,2010,3.45314,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chile,CHL,2015,0.38444,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Myanmar,MMR,2002,0.16203,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Portugal,PRT,2003,0.69834,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bulgaria,BGR,2004,0.472,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Poland,POL,2014,0.94001,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Iran, Islamic Rep.",IRN,2005,0.64178,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ecuador,ECU,1996,0.07406,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,United States,USA,2010,2.73395,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greece,GRC,2013,0.80976,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Spain,ESP,2006,1.16982,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ecuador,ECU,1997,0.06263,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Malaysia,MYS,2012,1.09298,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Argentina,ARG,2010,0.56126,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Euro area,EMU,2012,2.10125866854354,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Uruguay,URY,2007,0.42508,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Latin America & Caribbean,LCN,2009,0.749659112344058,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Mexico,MEX,2008,0.47279,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Denmark,DNK,1998,1.99942,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Slovak Republic,SVK,2005,0.49401,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,2001,0.783055990988774,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Armenia,ARM,1999,0.21409,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Macao SAR, China",MAC,2002,0.07004,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,IBRD only,IBD,2008,0.954535460785257,173,20,1996,2015
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Pakistan,PAK,2007,0.63249,173,20,1996,2015
