Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,East Asia & Pacific (IDA & IBRD countries),TEA,2010,8.58739232910096,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Kuwait,KWT,2015,4,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Portugal,PRT,2005,10.9,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Mali,MLI,2010,5.9,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Turkey,TUR,2005,11.5,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Pacific island small states,PSS,2015,7.96606474358492,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Switzerland,CHE,2015,15.1,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Romania,ROU,2015,11.7,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Ecuador,ECU,2005,9.3,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Germany,DEU,2010,13.5,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Costa Rica,CRI,2015,7.7,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Cote d'Ivoire,CIV,2005,16.4,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,New Zealand,NZL,2010,12.7,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Mexico,MEX,2000,3.4,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,North America,NAC,2015,14.099024025067,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Tunisia,TUN,2010,5.2,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Jamaica,JAM,2010,0.5,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Chile,CHL,2015,9.9,231,4,2000,2015
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Madagascar,MDG,2005,5.3,231,4,2000,2015
