Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Jordan,JOR,2012,4.5,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Trinidad and Tobago,TTO,1987,13.8,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Morocco,MAR,2004,6.5,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Dominican Republic,DOM,1986,17.4,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Rwanda,RWA,2010,6.1,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Jordan,JOR,2007,4.1,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Senegal,SEN,2006,18.4,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Madagascar,MDG,1997,35.7,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Ghana,GHA,2008,13.3,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Zambia,ZMB,2014,28.5,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Armenia,ARM,2010,4.9,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Malawi,MWI,2010,25.6,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,"Congo, Rep.",COG,2012,32.9,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Paraguay,PRY,1996,14,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Ethiopia,ETH,2005,16.6,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,"Congo, Rep.",COG,2005,27.3,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Senegal,SEN,1993,23.8,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,"Egypt, Arab Rep.",EGY,1992,9.9,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Kyrgyz Republic,KGZ,1997,9.4,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Rwanda,RWA,2000,6.8,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Thailand,THA,1987,10.5,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Indonesia,IDN,1994,11.2,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Honduras,HND,1996,27.7,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Rwanda,RWA,1992,10.5,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Kenya,KEN,1993,20.5,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Zambia,ZMB,2007,27.9,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Kenya,KEN,1998,20.9,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Tanzania,TZA,1992,29,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Senegal,SEN,2014,17.6,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Chad,TCD,2015,35.9,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Namibia,NAM,2007,15.4,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Cameroon,CMR,2004,28.4,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Honduras,HND,2001,28.5,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Paraguay,PRY,1990,16.8,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Malawi,MWI,2004,34.1,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Madagascar,MDG,2004,34,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Madagascar,MDG,1992,29,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Guatemala,GTM,1995,21.1,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Armenia,ARM,2005,4.7,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Uganda,UGA,1995,42.9,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Botswana,BWA,1988,28.4,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Bangladesh,BGD,1994,33,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Turkey,TUR,1993,9.3,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Ghana,GHA,2014,14.2,94,32,1985,2016
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Liberia,LBR,2007,32.1,94,32,1985,2016
