Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
"Fish species, threatened",EN.FSH.THRD.NO,Denmark,DNK,2017,18,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Guam,GUM,2017,14,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,United Kingdom,GBR,2017,47,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Bosnia and Herzegovina,BIH,2017,35,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Nauru,NRU,2017,11,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Middle East & North Africa (excluding high income),MNA,2017,433,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Zambia,ZMB,2017,20,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Guyana,GUY,2017,31,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Bahamas, The",BHS,2017,44,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Gambia, The",GMB,2017,34,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Sub-Saharan Africa (IDA & IBRD countries),TSS,2017,2047,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Burkina Faso,BFA,2017,4,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Montenegro,MNE,2017,32,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Italy,ITA,2017,51,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,British Virgin Islands,VGB,2017,28,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Sint Maarten (Dutch part),SXM,2017,29,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Luxembourg,LUX,2017,1,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Uzbekistan,UZB,2017,7,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Malta,MLT,2017,22,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Europe & Central Asia,ECS,2017,1220,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Mauritania,MRT,2017,43,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Vietnam,VNM,2017,80,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Hungary,HUN,2017,9,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Bolivia,BOL,2017,8,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Arab World,ARB,2017,633,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Togo,TGO,2017,35,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,St. Kitts and Nevis,KNA,2017,29,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Turks and Caicos Islands,TCA,2017,29,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Papua New Guinea,PNG,2017,59,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Spain,ESP,2017,78,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,East Asia & Pacific (excluding high income),EAP,2017,1087,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,India,IND,2017,225,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Argentina,ARG,2017,40,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Zimbabwe,ZWE,2017,3,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Latvia,LVA,2017,6,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Sierra Leone,SLE,2017,56,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Korea, Rep.",KOR,2017,25,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Cameroon,CMR,2017,119,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Bulgaria,BGR,2017,22,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Belize,BLZ,2017,43,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Namibia,NAM,2017,33,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Central African Republic,CAF,2017,3,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Faroe Islands,FRO,2017,12,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Niger,NER,2017,4,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Cambodia,KHM,2017,47,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,East Asia & Pacific,EAS,2017,1588,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,European Union,EUU,2017,729,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Angola,AGO,2017,51,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,St. Vincent and the Grenadines,VCT,2017,29,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Northern Mariana Islands,MNP,2017,15,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Europe & Central Asia (excluding high income),ECA,2017,517,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Morocco,MAR,2017,54,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Portugal,PRT,2017,63,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Myanmar,MMR,2017,51,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Cabo Verde,CPV,2017,34,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Gabon,GAB,2017,71,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Benin,BEN,2017,38,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Ethiopia,ETH,2017,14,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Aruba,ABW,2017,23,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Turkmenistan,TKM,2017,11,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Czech Republic,CZE,2017,2,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Andorra,AND,2017,0,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Palau,PLW,2017,22,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Sudan,SDN,2017,27,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Monaco,MCO,2017,15,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,1278,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Germany,DEU,2017,24,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Philippines,PHL,2017,92,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Upper middle income,UMC,2017,2343,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Colombia,COL,2017,97,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Pacific island small states,PSS,2017,198,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Romania,ROU,2017,22,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,China,CHN,2017,133,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Syrian Arab Republic,SYR,2017,51,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Tonga,TON,2017,16,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Euro area,EMU,2017,522,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Indonesia,IDN,2017,161,261,1,2017,2017
