Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Pacific island small states,PSS,2002,40.1346244534188,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Romania,ROU,2012,66.5999984741211,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,IDA total,IDA,2006,19.7711446445603,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Spain,ESP,2009,87.4000015258789,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Tajikistan,TJK,1999,60.4000015258789,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Mexico,MEX,2009,64.9000015258789,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,IDA total,IDA,1994,16.6529450862418,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,"Gambia, The",GMB,2009,15.5,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Cyprus,CYP,1998,81.6999969482422,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Central African Republic,CAF,1994,18.1000003814697,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Syrian Arab Republic,SYR,2016,85.4000015258789,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,South Africa,ZAF,1994,80.0999984741211,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Europe & Central Asia,ECS,2008,83.6598285073484,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Bulgaria,BGR,2013,90.9000015258789,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Bolivia,BOL,1991,64.1999969482422,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,St. Lucia,LCA,1996,70.0999984741211,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Romania,ROU,2000,51.5,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Middle East & North Africa (excluding high income),MNA,1998,48.9766170789123,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Ireland,IRL,2012,92.5,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Malawi,MWI,2002,25.7000007629395,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Costa Rica,CRI,1998,75.6999969482422,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Euro area,EMU,2008,88.1096923771911,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,China,CHN,2004,49.5,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,East Asia & Pacific,EAS,2015,58.9260713250324,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Late-demographic dividend,LTE,2002,50.5359077329368,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Latin America & Caribbean,LCN,1996,60.702537806487904,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Chile,CHL,2001,73.3000030517578,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,"Bahamas, The",BHS,1995,85,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Cuba,CUB,1991,77.6999969482422,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Timor-Leste,TLS,1997,27.5,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,2006,47.2257701679808,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Israel,ISR,2014,91.5999984741211,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Moldova,MDA,1997,67.1999969482422,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Lebanon,LBN,1991,71.4000015258789,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Albania,ALB,2005,30,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Early-demographic dividend,EAR,2007,28.3477127061805,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Rwanda,RWA,1991,2.90000009536743,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,United Kingdom,GBR,1996,92.1999969482422,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Moldova,MDA,1992,65.1999969482422,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Iraq,IRQ,1994,40.5999984741211,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Haiti,HTI,1994,15.1000003814697,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Benin,BEN,2004,3.79999995231628,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Puerto Rico,PRI,2002,85.4000015258789,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,Guinea-Bissau,GNB,1995,28.8999996185303,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,China,CHN,2007,53.5999984741211,232,27,1991,2017
"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,United States,USA,1996,90.8000030517578,232,27,1991,2017
