"","Indicator_Code","Indicator_Name","Num_of_Countries","Num_of_Years","FirstYear","LastYear"
"1","AG.AGR.TRAC.NO","Agricultural machinery, tractors",233,49,"1961","2009"
"2","AG.CON.FERT.PT.ZS","Fertilizer consumption (% of fertilizer production)",132,13,"2002","2014"
"3","AG.CON.FERT.ZS","Fertilizer consumption (kilograms per hectare of arable land)",207,13,"2002","2014"
"4","AG.LND.AGRI.K2","Agricultural land (sq. km)",257,55,"1961","2015"
"5","AG.LND.AGRI.ZS","Agricultural land (% of land area)",256,55,"1961","2015"
"6","AG.LND.ARBL.HA","Arable land (hectares)",208,55,"1961","2015"
"7","AG.LND.ARBL.HA.PC","Arable land (hectares per person)",254,55,"1961","2015"
"8","AG.LND.ARBL.ZS","Arable land (% of land area)",254,55,"1961","2015"
"9","AG.LND.CREL.HA","Land under cereal production (hectares)",227,54,"1961","2014"
"10","AG.LND.CROP.ZS","Permanent cropland (% of land area)",243,55,"1961","2015"
"11","AG.LND.EL5M.RU.K2","Rural land area where elevation is below 5 meters (sq. km)",225,3,"1990","2010"
"12","AG.LND.EL5M.RU.ZS","Rural land area where elevation is below 5 meters (% of total land area)",223,3,"1990","2010"
"13","AG.LND.EL5M.UR.K2","Urban land area where elevation is below 5 meters (sq. km)",225,3,"1990","2010"
"14","AG.LND.EL5M.UR.ZS","Urban land area where elevation is below 5 meters (% of total land area)",223,3,"1990","2010"
"15","AG.LND.EL5M.ZS","Land area where elevation is below 5 meters (% of total land area)",223,3,"1990","2010"
"16","AG.LND.FRST.K2","Forest area (sq. km)",257,26,"1990","2015"
"17","AG.LND.FRST.ZS","Forest area (% of land area)",256,26,"1990","2015"
"18","AG.LND.IRIG.AG.ZS","Agricultural irrigated land (% of total agricultural land)",119,15,"2001","2015"
"19","AG.LND.PRCP.MM","Average precipitation in depth (mm per year)",191,12,"1962","2014"
"20","AG.LND.TOTL.K2","Land area (sq. km)",262,57,"1961","2017"
"21","AG.LND.TOTL.RU.K2","Rural land area (sq. km)",225,3,"1990","2010"
"22","AG.LND.TOTL.UR.K2","Urban land area (sq. km)",225,3,"1990","2010"
"23","AG.LND.TRAC.ZS","Agricultural machinery, tractors per 100 sq. km of arable land",230,49,"1961","2009"
"24","AG.PRD.CREL.MT","Cereal production (metric tons)",227,54,"1961","2014"
"25","AG.PRD.CROP.XD","Crop production index (2004-2006 = 100)",246,54,"1961","2014"
"26","AG.PRD.FOOD.XD","Food production index (2004-2006 = 100)",248,54,"1961","2014"
"27","AG.PRD.LVSK.XD","Livestock production index (2004-2006 = 100)",247,54,"1961","2014"
"28","AG.SRF.TOTL.K2","Surface area (sq. km)",263,57,"1961","2017"
"29","AG.YLD.CREL.KG","Cereal yield (kg per hectare)",227,54,"1961","2014"
"30","BG.GSR.NFSV.GD.ZS","Trade in services (% of GDP)",235,57,"1960","2016"
"31","BM.GSR.CMCP.ZS","Communications, computer, etc. (% of service imports, BoP)",238,57,"1960","2016"
"32","BM.GSR.FCTY.CD","Primary income payments (BoP, current USdollar)",239,57,"1960","2016"
"33","BM.GSR.GNFS.CD","Imports of goods and services (BoP, current USdollar)",238,57,"1960","2016"
"34","BM.GSR.INSF.ZS","Insurance and financial services (% of service imports, BoP)",238,57,"1960","2016"
"35","BM.GSR.MRCH.CD","Goods imports (BoP, current USdollar)",238,57,"1960","2016"
"36","BM.GSR.NFSV.CD","Service imports (BoP, current USdollar)",238,57,"1960","2016"
"37","BM.GSR.ROYL.CD","Charges for the use of intellectual property, payments (BoP, current USdollar)",232,57,"1960","2016"
"38","BM.GSR.TOTL.CD","Imports of goods, services and primary income (BoP, current USdollar)",238,57,"1960","2016"
"39","BM.GSR.TRAN.ZS","Transport services (% of service imports, BoP)",238,57,"1960","2016"
"40","BM.GSR.TRVL.ZS","Travel services (% of service imports, BoP)",237,57,"1960","2016"
"41","BM.KLT.DINV.CD.WD","Foreign direct investment, net outflows (BoP, current USdollar)",236,47,"1970","2016"
"42","BM.KLT.DINV.WD.GD.ZS","Foreign direct investment, net outflows (% of GDP)",231,47,"1970","2016"
"43","BM.TRF.PRVT.CD","Secondary income, other sectors, payments (BoP, current USdollar)",239,57,"1960","2016"
"44","BM.TRF.PWKR.CD.DT","Personal remittances, paid (current USdollar)",239,47,"1970","2016"
"45","BN.CAB.XOKA.CD","Current account balance (BoP, current USdollar)",194,57,"1960","2016"
"46","BN.CAB.XOKA.GD.ZS","Current account balance (% of GDP)",189,57,"1960","2016"
"47","BN.FIN.TOTL.CD","Net financial account (BoP, current USdollar)",193,57,"1960","2016"
"48","BN.GSR.FCTY.CD","Net primary income (BoP, current USdollar)",194,57,"1960","2016"
"49","BN.GSR.GNFS.CD","Net trade in goods and services (BoP, current USdollar)",194,57,"1960","2016"
"50","BN.GSR.MRCH.CD","Net trade in goods (BoP, current USdollar)",194,57,"1960","2016"
"51","BN.KAC.EOMS.CD","Net errors and omissions (BoP, current USdollar)",193,57,"1960","2016"
"52","BN.KLT.DINV.CD","Foreign direct investment, net (BoP, current USdollar)",193,57,"1960","2016"
"53","BN.KLT.PTXL.CD","Portfolio investment, net (BoP, current USdollar)",190,57,"1960","2016"
"54","BN.RES.INCL.CD","Reserves and related items (BoP, current USdollar)",193,57,"1960","2016"
"55","BN.TRF.CURR.CD","Net secondary income (BoP, current USdollar)",194,57,"1960","2016"
"56","BN.TRF.KOGT.CD","Net capital account (BoP, current USdollar)",193,57,"1960","2016"
"57","BX.GRT.EXTA.CD.WD","Grants, excluding technical cooperation (BoP, current USdollar)",180,56,"1960","2015"
"58","BX.GRT.TECH.CD.WD","Technical cooperation grants (BoP, current USdollar)",180,56,"1960","2015"
"59","BX.GSR.CCIS.CD","ICT service exports (BoP, current USdollar)",234,57,"1960","2016"
"60","BX.GSR.CCIS.ZS","ICT service exports (% of service exports, BoP)",234,57,"1960","2016"
"61","BX.GSR.CMCP.ZS","Communications, computer, etc. (% of service exports, BoP)",238,57,"1960","2016"
"62","BX.GSR.FCTY.CD","Primary income receipts (BoP, current USdollar)",239,57,"1960","2016"
"63","BX.GSR.GNFS.CD","Exports of goods and services (BoP, current USdollar)",236,57,"1960","2016"
"64","BX.GSR.INSF.ZS","Insurance and financial services (% of service exports, BoP)",235,57,"1960","2016"
"65","BX.GSR.MRCH.CD","Goods exports (BoP, current USdollar)",236,57,"1960","2016"
"66","BX.GSR.NFSV.CD","Service exports (BoP, current USdollar)",236,57,"1960","2016"
"67","BX.GSR.ROYL.CD","Charges for the use of intellectual property, receipts (BoP, current USdollar)",231,57,"1960","2016"
"68","BX.GSR.TOTL.CD","Exports of goods, services and primary income (BoP, current USdollar)",236,57,"1960","2016"
"69","BX.GSR.TRAN.ZS","Transport services (% of service exports, BoP)",237,57,"1960","2016"
"70","BX.GSR.TRVL.ZS","Travel services (% of service exports, BoP)",236,57,"1960","2016"
"71","BX.KLT.DINV.CD.WD","Foreign direct investment, net inflows (BoP, current USdollar)",248,47,"1970","2016"
"72","BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)",243,47,"1970","2016"
"73","BX.KLT.DREM.CD.DT","Primary income on FDI, payments (current USdollar)",135,47,"1970","2016"
"74","BX.PEF.TOTL.CD.WD","Portfolio equity, net inflows (BoP, current USdollar)",233,57,"1960","2016"
"75","BX.TRF.CURR.CD","Secondary income receipts (BoP, current USdollar)",239,57,"1960","2016"
"76","BX.TRF.PWKR.CD","Personal transfers, receipts (BoP, current USdollar)",230,57,"1960","2016"
"77","BX.TRF.PWKR.CD.DT","Personal remittances, received (current USdollar)",238,47,"1970","2016"
"78","BX.TRF.PWKR.DT.GD.ZS","Personal remittances, received (% of GDP)",233,47,"1970","2016"
"79","CM.MKT.INDX.ZG","S&P Global Equity Indices (annual % change)",84,27,"1990","2016"
"80","CM.MKT.LCAP.CD","Market capitalization of listed domestic companies (current USdollar)",133,42,"1975","2016"
"81","CM.MKT.LCAP.GD.ZS","Market capitalization of listed domestic companies (% of GDP)",133,42,"1975","2016"
"82","CM.MKT.LDOM.NO","Listed domestic companies, total",140,42,"1975","2016"
"83","CM.MKT.TRAD.CD","Stocks traded, total value (current USdollar)",137,42,"1975","2016"
"84","CM.MKT.TRAD.GD.ZS","Stocks traded, total value (% of GDP)",137,42,"1975","2016"
"85","CM.MKT.TRNR","Stocks traded, turnover ratio of domestic shares (%)",141,42,"1975","2016"
"86","DC.DAC.AUSL.CD","Net bilateral aid flows from DAC donors, Australia (current USdollar)",218,51,"1965","2015"
"87","DC.DAC.AUTL.CD","Net bilateral aid flows from DAC donors, Austria (current USdollar)",208,56,"1960","2015"
"88","DC.DAC.BELL.CD","Net bilateral aid flows from DAC donors, Belgium (current USdollar)",210,56,"1960","2015"
"89","DC.DAC.CANL.CD","Net bilateral aid flows from DAC donors, Canada (current USdollar)",216,56,"1960","2015"
"90","DC.DAC.CECL.CD","Net bilateral aid flows from DAC donors, European Union institutions (current USdollar)",222,56,"1960","2015"
"91","DC.DAC.CHEL.CD","Net bilateral aid flows from DAC donors, Switzerland (current USdollar)",210,56,"1960","2015"
"92","DC.DAC.CZEL.CD","Net bilateral aid flows from DAC donors, Czech Republic (current USdollar)",171,11,"2005","2015"
"93","DC.DAC.DEUL.CD","Net bilateral aid flows from DAC donors, Germany (current USdollar)",222,56,"1960","2015"
"94","DC.DAC.DNKL.CD","Net bilateral aid flows from DAC donors, Denmark (current USdollar)",193,56,"1960","2015"
"95","DC.DAC.ESPL.CD","Net bilateral aid flows from DAC donors, Spain (current USdollar)",206,36,"1980","2015"
"96","DC.DAC.FINL.CD","Net bilateral aid flows from DAC donors, Finland (current USdollar)",212,46,"1970","2015"
"97","DC.DAC.FRAL.CD","Net bilateral aid flows from DAC donors, France (current USdollar)",221,56,"1960","2015"
"98","DC.DAC.GBRL.CD","Net bilateral aid flows from DAC donors, United Kingdom (current USdollar)",221,56,"1960","2015"
"99","DC.DAC.GRCL.CD","Net bilateral aid flows from DAC donors, Greece (current USdollar)",204,20,"1996","2015"
"100","DC.DAC.IRLL.CD","Net bilateral aid flows from DAC donors, Ireland (current USdollar)",190,42,"1974","2015"
"101","DC.DAC.ISLL.CD","Net bilateral aid flows from DAC donors, Iceland (current USdollar)",87,21,"1992","2015"
